Cliente,Producto,SKU,Fecha de creación (PST),Estado de la suscripción,Plan de pago,Fecha de renovación (PST),Licencias asignadas,Licencias compradas,ID único de cliente,ID de Cloud Identity,ID de aprovisionamiento
emediterrania.cat,Google Workspace,Google Workspace for Education Fundamentals,16 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SBZ4zVsygF80qE,C0444w5p3,3397471557
emilivalles.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SXZUq7Wf4qAcSH,C00xv2hxz,3326168863
emont.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SC0mrOMezQ9sk2,C014056vm,3326414122
epsafa.cat,-,-,-,-,-,-,0,0,Sjbd4xaQW9Wad3,C03k3aone,-
esantpere.cat,Google Workspace,Google Workspace for Education Fundamentals,15 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SjlN7uwvdmCpHn,C023e4bk3,3397462658
esbc.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S0W944Uzw7y9HR,C03775ywx,3352041600
esc-josepveciana.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sta5afDiVfnPoj,C00pua9ce,3326339907
esc-mercerodoreda.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,ShGGrCZ8WEIhr9,C01ovztax,3329213792
esc-tarragona.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SUf4N6ODwUMsbJ,C025x6fhy,3332837585
escjoseppla.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SHPz8cMliu7dDg,C00mpljyd,3326375380
esclesescomes.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SVwVC27rrY0sN8,C0387kf9c,3325888216
escola-ametllers.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SfXYz5l0NfNmvZ,C03bpyetm,3326205095
escola-catalunya.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SGhZVWFU9Ek010,C04lcyg5q,3332952978
escola-paucasals.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S7gt3LQpeC12hs,C03yurg0x,3351806315
escola-portitxol.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S5UKbu2GbDl95g,C038nnwtd,3327413949
escola11s.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SHh0lvkwNNyi0C,C03ff9snb,3352049432
escola25desetembre.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SOA481tTXL1u6L,C01v7mpl8,3325862263
escolaagnesdesitges.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SrkWYj7ZOMQBcv,C04h2vez4,3354887627
escolaalbertvives.cat,Google Workspace,Google Workspace for Education Fundamentals,15 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SyKa9g61pOyGvw,C00jak7jq,3394279173
escolaalcanar.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S762emlE5HpJuQ,C00hfgqkq,3352003152
escolaalcoletge.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SZ0hjCPmnZtDqx,C04i9ih7k,3326112283
escolaalexandregali.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SNRtPF7q8yvTKH,C02gdvdzg,3326209936
escolaaloc.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SamUrecxDXELHY,C03sd2r1r,3326333687
escolaalzinar.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SQ69rpSUrwuLej,C01vjbpjt,3333057618
escolaandreucastells.com,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SN4mFaCQ94k35n,C01s7b9xc,3333296435
escolaannexa.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SzBVaqbkBKujqQ,C02ii80ig,3326002442
escolaantonidoltra.cat,Google Workspace,Google Workspace for Education Fundamentals,29 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SQpgsMpUzD9Y2R,C01fpant8,3345559180
escolaasco.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sx0vqDFTpZbHJ6,C03fih11e,3329202804
escolaavia.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SLFINZPInfz2sk,C03lvjrwr,3326169773
escolabaixeras.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SC7CYKVVfU8glj,C03491xmg,3351935423
escolabanus.cat,Google Workspace,Google Workspace for Education Fundamentals,29 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sb58qge8oR6db4,C02jklnhc,3345736043
escolabarrufetsantboi.cat,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SWGrZmw4hLs3ek,C03o1ooz4,3375255533
escolabcn.cat,Google Workspace,Google Workspace for Education Fundamentals,18 de enero de 2022,Activa,Free Plan,-,0,2000000,S0vszuxoSVsHY0,C03p0q6bt,3482781019
escolabellpuig.cat,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SU57LtLXjGz9vK,C01ov8615,3375344626
escolacaixa.cat,Google Workspace,Google Workspace for Education Fundamentals,17 de noviembre de 2020,Activa,Free Plan,-,0,2000000,SoIDQr49PVtC8P,C010y53ax,2183473372
escolacalderon.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SfSrnxebks6cWD,C03t9tz75,3351765165
escolacambrils.com,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SQwlbMwZzF0a4q,C00kmaa93,3326018426
escolacamins.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SL2IO5MSnfQkyH,C00nnjwxt,3325969931
escolacaminsbanyoles.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,Sfq2BvlPyL0UFt,C03x2elpc,3333131948
escolacanigovng.cat,Google Workspace,Google Workspace for Education Fundamentals,3 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SPaKJ6d3ZOAEMD,C02ittcg6,3358482333
escolacanpuig.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SIHEY2r7bDBg54,C04l2fxlf,3326423532
escolacanroca.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,STB1NIk3xP7vKv,C028so8dz,3326077275
escolacarlesi.net,Google Workspace,Google Workspace for Education Fundamentals,8 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SOm9qGSyf5YFVk,C01g4b3bq,3375167417
escolacarmeauguet.cat,Google Workspace,Google Workspace for Education Fundamentals,2 de diciembre de 2021,Activa,Free Plan,-,0,2000000,S9TZafejzUl9er,C0128bl3w,3354621390
escolacarmeguasch.cat,Google Workspace,Google Workspace for Education Fundamentals,3 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SoRMftpFhOYu5B,C03pimfcw,3358619031
escolacarmel.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SrpvGboZRiEEvH,C04kj7bgj,3326431101
escolacassiacostal.cat,Google Workspace,Google Workspace for Education Fundamentals,23 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SRzUkMdCVvQFKO,C031vpjh9,3329011954
escolacastelldefarners.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SkFUydOmgmjsTC,C03sutrso,3333127227
escolacatalonia.cat,Google Workspace,Google Workspace for Education Fundamentals,1 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SLnmKLXRpGXfS1,C01otkjyv,3350869394
escolaceliaartiga.cat,Google Workspace,Google Workspace for Education Fundamentals,24 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SsRXu01DQeF0HA,C01w6tpcb,3333166757
escolacercs.cat,Google Workspace,Google Workspace for Education Fundamentals,29 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SaW2Ma4Upqvva4,C03b5uzju,3345253553
escolacervantes.cat,Google Workspace,Google Workspace for Education Fundamentals,20 de noviembre de 2020,Activa,Free Plan,-,0,2000000,S96tbiztQNEPI1,C047o9xxy,2194227218
escolacesaraugust.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,SAslT9QdgJknXJ,C03mutya4,3326109450
escolacharlierivel.cat,Google Workspace,Google Workspace for Education Fundamentals,3 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SvXOKr2jpVGQfX,C028e8h99,3357900749
escolacintacurto.cat,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,StZp9FmJHS8X8g,C00isms7m,3325967252
escolaciutatcooperativa.net,Google Workspace,Google Workspace for Education Fundamentals,22 de noviembre de 2021,Activa,Free Plan,-,0,2000000,S0vuzPsGrtbSsZ,C04f68nbp,3326045646
escolacollserola.cat,Google Workspace,Google Workspace for Education Fundamentals,3 de diciembre de 2021,Activa,Free Plan,-,0,2000000,SkA4uQDOJMM1ib,C03t32v4x,3357729038
